Ensembl_id	log2FoldChange	
ENSG00000187653	2.224698454	
ENSG00000173578	5.036850911	
ENSG00000143851	2.642934467	
ENSG00000255833	5.290837568	
ENSG00000107130	2.250794795	
ENSG00000125637	2.169436527	
ENSG00000185862	2.698807575	
ENSG00000235097	-3.785743081	
ENSG00000158481	3.416420824	
ENSG00000186654	2.825274185	
ENSG00000213722	1.870600701	
ENSG00000173369	2.848920156	
ENSG00000164626	3.244455581	
ENSG00000043462	2.329942332	
ENSG00000153012	2.434324509	
ENSG00000160255	2.523251443	
ENSG00000006606	3.764525218	
ENSG00000116711	2.733707679	
ENSG00000147100	1.630151136	
ENSG00000238005	2.425332243	
ENSG00000225492	2.175485458	
ENSG00000128045	3.158623467	
ENSG00000075884	2.279820592	
ENSG00000081320	1.859255387	
ENSG00000079435	3.281230629	
ENSG00000038945	2.418466187	
ENSG00000170955	1.69197052	
ENSG00000168542	2.547463709	
ENSG00000264083	-1.648915794	
ENSG00000211892	5.563842123	
ENSG00000168621	-3.139862961	
ENSG00000187288	4.563179499	
ENSG00000138028	-1.848309087	
ENSG00000134824	1.951272491	
ENSG00000100385	2.648791615	
ENSG00000186310	1.935169675	
ENSG00000152270	3.780916207	
ENSG00000181847	3.325362244	
ENSG00000173207	1.666263828	
ENSG00000163606	2.857517421	
ENSG00000146285	3.354809769	
ENSG00000186517	2.293425527	
ENSG00000114115	1.700953317	
ENSG00000153283	2.848255363	
ENSG00000157064	2.359206386	
ENSG00000115325	2.167561982	
ENSG00000167600	3.009633968	
ENSG00000102802	1.653018282	
ENSG00000160818	-1.689228924	
ENSG00000123080	2.196136232	
ENSG00000078081	3.430899402	
ENSG00000123338	2.37404302	
ENSG00000064763	1.833691086	
ENSG00000057704	-1.628073914	
ENSG00000112559	3.472381292	
ENSG00000114013	2.824802854	
ENSG00000204956	-1.747048611	
ENSG00000132274	1.658761375	
ENSG00000229474	2.513563428	
ENSG00000110002	1.537636434	
ENSG00000172724	4.022842768	
ENSG00000167083	2.404739762	
ENSG00000151458	1.5964626	
ENSG00000118508	1.871410201	
ENSG00000132965	2.316954926	
ENSG00000132854	3.975542609	
ENSG00000106948	1.961868998	
ENSG00000083857	2.338493672	
ENSG00000095970	3.727453285	
ENSG00000111728	2.065719931	
ENSG00000162630	3.004212348	
ENSG00000260314	2.335391911	
ENSG00000268621	5.392732315	
ENSG00000087903	1.808989655	
ENSG00000188820	3.546453497	
ENSG00000114541	1.826000577	
ENSG00000174697	4.936016184	
ENSG00000162777	2.418105841	
ENSG00000177494	5.0864901	
ENSG00000197540	2.799957325	
ENSG00000065809	2.241971263	
ENSG00000196917	4.289785407	
ENSG00000180257	1.590650757	
ENSG00000162882	1.677213308	
ENSG00000235863	1.572890415	
ENSG00000082074	2.60473835	
ENSG00000171428	2.055226297	
