Ensembl_id	Padj
ENSG00000102710	8.5255E-05
ENSG00000174080	8.54888E-05
ENSG00000103353	8.71985E-05
ENSG00000227877	8.84359E-05
ENSG00000087302	8.8793E-05
ENSG00000117569	8.90553E-05
ENSG00000140545	9.00787E-05
ENSG00000211445	9.02274E-05
ENSG00000186020	9.13626E-05
ENSG00000005243	9.40467E-05
ENSG00000197375	9.56323E-05
ENSG00000144674	9.60506E-05
ENSG00000117385	9.85703E-05
ENSG00000114544	9.87618E-05
ENSG00000108821	0.00010048
ENSG00000072364	0.000100712
ENSG00000073921	0.000100713
ENSG00000178177	0.000101784
ENSG00000159251	0.000101802
ENSG00000130598	0.000101925
ENSG00000188257	0.00010199
ENSG00000115760	0.00010209
ENSG00000143740	0.000104607
ENSG00000168769	0.000109779
ENSG00000013306	0.000111643
ENSG00000149136	0.000112936
ENSG00000122507	0.000117836
ENSG00000160216	0.000121336
ENSG00000196262	0.000121686
ENSG00000085733	0.00012259
ENSG00000160539	0.000124911
ENSG00000184470	0.000128498
ENSG00000054118	0.000129886
ENSG00000056586	0.000130213
ENSG00000166710	0.000134
ENSG00000137764	0.000134245
ENSG00000128891	0.000134262
ENSG00000143294	0.000138493
ENSG00000100077	0.000143151
ENSG00000129422	0.000143713
ENSG00000135424	0.000144137
ENSG00000116127	0.000145778
ENSG00000138594	0.000145848
ENSG00000185122	0.000147763
ENSG00000072682	0.000148372
ENSG00000104331	0.000153386
ENSG00000114098	0.00015366
ENSG00000090060	0.000156748
ENSG00000154124	0.000157075
ENSG00000206527	0.000157309
ENSG00000184831	0.0001575
ENSG00000130313	0.000158097
ENSG00000107742	0.000159151
ENSG00000151835	0.000159155
ENSG00000138688	0.00015932
ENSG00000068024	0.000160032
ENSG00000166025	0.000166605
ENSG00000118579	0.000167366
ENSG00000156642	0.00016863
ENSG00000129351	0.00016907
ENSG00000198755	0.000169323
ENSG00000175866	0.000179348
ENSG00000138640	0.000179553
ENSG00000135454	0.000181946
ENSG00000149257	0.000182272
ENSG00000105204	0.000182299
ENSG00000134874	0.000182334
ENSG00000104320	0.000182882
ENSG00000177098	0.000183135
ENSG00000145734	0.000183423
ENSG00000196914	0.000185951
ENSG00000133884	0.000186855
ENSG00000198399	0.000191032
ENSG00000198722	0.000191587
ENSG00000100104	0.000201168
ENSG00000096384	0.000201735
